,Ant,Node,A Priori Status,Auto Metrics Flags,Dead Fraction in Ant Metrics (Jee),Dead Fraction in Ant Metrics (Jnn),Crossed Fraction in Ant Metrics,Flag Fraction Before Redcal,Flagged By Redcal $\chi^2$ Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Average Dead Ant Metric (Jee),Average Dead Ant Metric (Jnn),Average Crossed Ant Metric,Median $\chi^2$ Per Antenna (Jee),Median $\chi^2$ Per Antenna (Jnn)
18,50,3,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.1732820478759887,-0.5424383087706677,-1.0761138364543998,0.411224208182911,3.464699940683473,1.6855684615979505,0.9010161343315936,-1.6337543846022071,0.799569587432465,0.7400098623308959,0.41709516376841255,0.6087295413017273,0.5466241538524628
19,51,3,digital_ok,1.0,0.0,0.0,1.0,1.0,0.0,0.28243558970306776,0.5733423281246566,-0.8103507233181431,0.3147928543889206,13.2696866714777,10.243666571590008,0.615915401806727,-0.19413541844298543,0.40307316473756033,0.403905670943475,-0.3003764967906593,3.4543131589889526,3.1960889101028442
20,52,3,RF_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.17519397140852633,-0.5683194418425795,1.4787797089445072,-0.592947850822854,0.8519999675076986,-0.5561028182261865,1.7940697578726261,0.6349585546543481,0.8080577942357977,0.7513880282204813,0.39526967361565213,0.587741956114769,0.4944850578904152
21,53,3,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,-0.980001370654978,-0.7069130792864844,1.3850494276945782,-0.5239329428435869,0.34270142360809547,-0.504232077044077,0.5124306503052802,-0.10479595454386001,0.8084253149988764,0.7508182475782246,0.400567564209372,0.7327841818332672,0.5077722370624542
22,58,5,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,1.156292256644176,1.9205294483970334,-0.6024932463633863,-1.0651650027889294,-0.8185226055329228,1.3924750879046874,-0.19713916243241977,6.4652295523807615,0.7888552463231864,0.7345397657603532,0.40869660565258253,0.8529637157917023,0.7821856141090393
23,59,5,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,47.06491165728986,2.0200859229548103,0.28681693667124036,-0.10496302964613353,12.803897237552025,2.9975379435580662,3.3499003305428725,1.1863838877614494,0.7021762997825948,0.72797502470289,0.4124599734209377,3.0673205256462097,2.2552103996276855
24,65,3,RF_maintenance,1.0,1.0,1.0,0.0,1.0,0.0,40.98489002196437,49.22150176581317,21.445784563816773,21.718610537964235,26.623347775728064,34.07244458467979,21.96503114885881,25.68640480581401,0.021376416919129487,0.03229906464162314,0.011302141445606328,1.2210719585418701,1.251540094614029
25,66,3,RF_ok,1.0,0.0,0.0,0.0,0.0,0.0,-0.3674094129081242,1.1108326326661688,-0.5627180821432969,-1.0621853210975563,2.5466488606043796,-1.4371954718833462,0.13675352817343667,5.138020514656974,0.8067791807979016,0.7442496190835911,0.4033563209818448,0.5444603264331818,0.5060839951038361
26,67,3,RF_maintenance,1.0,0.0,0.0,0.0,1.0,0.0,-0.16948169798662033,2.344142801243265,1.5798614240462103,11.163977797368593,-0.6469518900104058,6.1076228690244765,-0.0013395885017332477,1.636568328085683,0.8049366433452851,0.7028947230970484,0.42229792067779826,2.9479662775993347,2.2194692492485046
27,68,3,digital_ok,0.0,0.0,0.0,0.0,0.0,0.0,0.8780553950797909,2.8466458333027593,2.6057165661054236,2.651732728755004,-0.5321784071581535,-1.2209663734581497,0.2004001062247324,-0.7640320791762839,0.8066704733347014,0.7415320892225141,0.39157196960645163,0.590434193611145,0.5386472642421722
