,Ant,Node,A Priori Status,Auto Metrics Flags,Flag Fraction Before Redcal,Flagged By Redcal chi^2 Fraction,ee Shape Modified Z-Score,nn Shape Modified Z-Score,ee Power Modified Z-Score,nn Power Modified Z-Score,ee Temporal Variability Modified Z-Score,nn Temporal Variability Modified Z-Score,ee Temporal Discontinuties Modified Z-Score,nn Temporal Discontinuties Modified Z-Score,Median chi^2 Per Antenna (Jee),Median chi^2 Per Antenna (Jnn)
11,16,1,RF_maintenance,0.0,1.0,0.0,-1.4367374261020902,-0.876463177739842,-1.1552089640076908,-0.06140180051706654,-0.3992947436290017,-0.4532094563834695,0.22229984950451756,1.3840279095638712,8.696097373962402,8.276968002319336
12,17,1,digital_ok,0.0,0.0,0.01,0.03736166925584849,-0.31197090783035475,-0.7083503233035918,-1.1495440825896095,-0.8400209779904515,-0.39165373740722587,0.026327913702621542,-0.07669461052203583,0.5641235858201981,0.5913960039615631
13,18,1,RF_maintenance,1.0,1.0,0.0,-0.08364796294554411,6.930536838534342,1.7392871340389697,0.15921316178780254,-1.0521624471075806,1.696048708038361,-0.28423449128100214,12.448520778431153,5.7782288789749146,3.5983835458755493
14,23,0,RF_maintenance,1.0,1.0,0.0,34.03111809210024,72.98221202207915,132.00703831362466,146.15255844324486,25.237388444939416,36.10413528851417,273.90137131794575,332.4280976475241,1.1332743763923645,1.125778704881668
15,24,0,RF_maintenance,1.0,1.0,0.0,32.365438447658654,90.28048036488539,125.36634369981853,172.93939531573653,19.761258549605788,46.912890797051276,238.98866893169867,568.3360715869464,1.0968683362007141,1.0890966057777405
16,25,0,RF_maintenance,1.0,1.0,0.0,249.83747351705784,251.94753804435,284.448134190507,inf,12.453711877749274,14.944338718207275,157.5199544965909,167.7708152564626,0.9848523885011673,0.0
17,26,0,RF_maintenance,1.0,1.0,0.0,246.00744575956404,252.02663666612727,233.78057256798334,330.17583414818273,24.45681352262255,14.324164221308559,296.15076988104914,186.26362988104773,1.1865495145320892,0.0
18,27,1,RF_maintenance,1.0,1.0,0.0,11.442793404483048,15.289598025196396,61.05250858010003,64.30024544705284,0.046915537820856966,0.6913694812962783,1.3547089129832124,1.554056987833991,2.59221750497818,1.3238835632801056
19,28,1,RF_maintenance,1.0,1.0,0.0,12.44401224594159,-0.03915163980290287,0.9843586219204242,1.1931176882273646,9.047904051388617,1.1040981776441994,30.810917700121642,3.1413284347957457,2.9310572743415833,7.704511284828186
20,29,1,digital_ok,0.0,0.0,0.35,-1.1655897415595184,-0.7623595428340858,-0.45948817103361334,0.7564690087193631,-0.02701704697585477,-0.6622522446815707,0.08455288207968953,0.054589604889904414,2.810873031616211,0.0
21,30,1,RF_maintenance,0.0,1.0,0.0,-0.19654177768567233,-0.7402396293429735,-1.1978423778732779,0.5862797936099603,1.960767075481939,0.34642920448648395,-0.14304945973203587,1.4924541848700537,6.032891511917114,7.8697028160095215
22,39,0,RF_maintenance,1.0,1.0,0.0,259.045688160392,259.18159587240126,inf,inf,13.806359684418203,6.433841258056332,105.94793720996128,89.76330357672495,0.0,0.0
23,45,5,RF_maintenance,1.0,1.0,0.0,-0.12078244414152925,14.135880463569293,-1.2342589068987189,61.8616734533847,-1.1350783012297994,0.30421756973467035,0.013134835502049231,1.400295226517297,1.2620970010757446,1.2181325852870941
24,46,5,digital_ok,0.0,1.0,0.0,-0.16260734510401528,-0.3412991761784142,-1.0857051273326217,1.229439007197389,-0.21945384522546588,-0.12808330162113377,1.213471527875779,0.46713006475929186,4.138556122779846,5.170251131057739
